id,dias_flor,dias_fruto,dias_fin_flor,dias_muerte,dias_fin_fruto
369,91,91,108,118,118
370,81,81,108,137,123
371,53,61,102,122,122
372,81,91,112,146,NA
373,61,70,NA,118,118
374,57,61,102,123,123
376,88,88,118,144,NA
378,92,92,133,140,125
378,NA,NA,NA,NA,NA
379,63,74,NA,NA,123
380,91,98,98,123,123
381,91,98,116,144,122
383,81,98,116,144,124
384,81,81,112,139,122
386,53,61,108,118,118
387,NA,NA,NA,151,123
388,NA,NA,112,167,124
389,63,NA,102,123,123
390,63,70,108,160,122
391,61,63,102,151,NA
392,81,88,108,137,123
393,53,NA,98,118,118
394,91,NA,NA,171,NA
395,81,81,102,132,123
396,91,102,108,118,118
397,81,98,116,164,123
398,91,91,NA,160,NA
399,95,102,118,160,NA
400,88,88,112,160,NA
401,102,102,104,118,118
402,74,81,108,132,123
403,91,102,112,118,118
404,102,112,116,144,NA
405,102,102,108,171,124
406,88,88,88,160,NA
407,91,98,104,144,NA
408,NA,NA,108,137,123
409,88,88,118,160,124
410,81,81,98,102,102
411,88,88,101,102,NA
412,70,74,102,151,NA
413,81,81,102,118,118
414,88,102,112,151,NA
415,91,91,108,123,123
416,91,91,108,171,NA
417,NA,NA,102,123,123
418,102,108,NA,160,NA
419,81,81,108,118,118
420,88,88,102,NA,122
